gene,logFC,logCPM,LR,PValue,FDR
ENSG00000231755.1,-3.823096955,-4.816748594,6.332659526,0.011853443,0.995853392
ENSG00000171189.18,-1.107882936,-1.550596234,9.492402224,0.002063245,0.995853392
ENSG00000170262.13,-3.141369513,-4.260434058,7.488321972,0.00621004,0.995853392
ENSG00000184385.2,-2.095036627,-4.318640902,5.004474619,0.025281876,0.995853392
ENSG00000289857.1,-1.422153055,-2.872708887,7.027063389,0.008028691,0.995853392
ENSG00000289481.2,-3.883883291,-4.811470042,5.659103425,0.017364998,0.995853392
ENSG00000211648.2,-3.502043957,-4.907244232,4.839812279,0.027809922,0.995853392
ENSG00000275609.1,-1.946305136,-4.097507924,6.440217014,0.011156502,0.995853392
ENSG00000223704.2,-1.083356182,-2.994692109,4.938935862,0.026258198,0.995853392
ENSG00000273216.1,-4.074791897,-4.732590889,7.711779686,0.005486164,0.995853392
ENSG00000176635.18,-2.376752392,-4.586278401,4.474418943,0.034405899,0.995853392
ENSG00000230741.1,-4.12319374,-4.728644091,6.876770685,0.00873232,0.995853392
ENSG00000128310.3,-4.036969056,-4.739115911,6.929462638,0.008478716,0.995853392
ENSG00000225528.4,-0.802734918,-2.754181167,4.041369358,0.044397782,0.995853392
ENSG00000235568.7,-0.61484003,-1.054594115,5.020162775,0.025053814,0.995853392
ENSG00000224856.2,-2.625624302,-4.087106361,6.543380579,0.010527511,0.995853392
ENSG00000282840.1,-4.477282529,-4.578535776,10.05748079,0.001517306,0.995853392
